instancias;optimo
burma14;3323
ulysses16;6859
gr17;2085
gr21;2707
ulysses22;7013
gr24;1272
fri26;937
bayg29;1610
bays29;2020
dantzig42;699
swiss42;1273
att48;10628
gr48;5046
hk48;11461
eil51;426
berlin52;7542
brazil58;25395
st70;675
eil76;538
pr76;108159
gr96;55209
rat99;1211
kroA100;21282
kroB100;22141
kroC100;20749
kroD100;21294
kroE100;22068
rd100;7910
eil101;629
lin105;14379
pr107;44303
gr120;6942
pr124;59030
bier127;118282
ch130;6110
pr136;96772
gr137;69853
pr144;58537
ch150;6528
kroA150;26524
